Rank,SIR_GT (Top Nodes),DC,BC,CC,CI,PR,KS,SAASP-fixed,SAASP-adaptive
1,465,160,160,160,160,160,21,160,160
2,448,121,86,82,86,121,62,86,86
3,221,82,5,121,13,82,58,121,121
4,292,107,82,107,5,107,64,107,107
5,425,86,121,62,62,86,63,183,183
6,588,62,107,86,82,62,17,62,62
7,321,434,13,434,121,5,546,82,82
8,590,13,377,166,107,13,82,83,83
9,294,166,62,249,64,166,300,405,405
10,355,183,64,64,166,434,303,249,249
11,351,5,211,129,533,377,81,64,64
12,136,64,533,183,434,64,290,211,211
13,198,249,84,13,183,211,283,5,5
14,342,129,166,5,377,183,282,434,434
15,363,533,971,533,129,129,533,129,129
16,44,211,434,105,301,533,83,411,411
17,542,105,411,128,211,249,86,166,166
18,747,128,129,283,84,84,87,128,128
19,86,114,65,142,420,21,493,333,333
20,305,283,6,87,249,106,494,28,28
