Rank,SIR_GT (Top Nodes),DC,BC,CC,CI,PR,KS,SAASP-fixed,SAASP-adaptive
1,465,107,107,107,107,3437,2184,107,107
2,1128,1684,1684,58,1684,107,2188,1912,1912
3,3097,1912,3437,428,0,1684,2190,1684,1684
4,2778,3437,1912,563,1577,0,2172,3437,3437
5,2020,0,1085,1684,1718,1912,2233,0,0
6,990,2543,0,171,428,348,2229,1577,1577
7,897,2347,698,348,348,686,2266,2543,2543
8,3386,1888,567,483,483,3980,2257,2347,2347
9,3577,1800,58,414,1465,414,2244,1718,1718
10,978,1663,428,376,1912,698,2253,58,58
11,538,2266,563,475,563,483,2240,1465,1465
12,1569,1352,860,566,1352,3830,2271,428,428
13,1866,483,414,1666,1663,376,2308,563,563
14,1732,348,1577,1534,414,2047,2131,2266,2266
15,1966,1730,348,484,2047,56,2154,1663,1663
16,1309,1985,1718,353,1126,25,2150,1352,1352
17,2225,1941,686,1171,2111,828,2142,2233,2233
18,2653,2233,594,651,1835,322,2276,1985,1985
19,1315,2142,136,420,1376,475,2278,1888,1888
20,2689,1431,3980,1085,1621,428,2139,1993,1993
